habitaciones;baños;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Portería / Recepción;Zonas Verdes;Salón Comunal;Balcón;Barra estilo americano;Calentador;Chimenea;Citófono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Depósito / Bodega;nombre;ubicacion;precio
2;2;1;13 m²;92 m²;4;No definida;9 a 15 años;$ 622.000 COP;$ 6.521.739,13*m²;1;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;Apartamento;Centro Internacional;600000000
1;2;1;56 m²;56 m²;6;No definida;1 a 8 años;$ 523.000 COP;$ 8.392.857,14*m²;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;Apartamento;Calleja Baja;470000000
3;4;2;144 m²;144 m²;6;No definida;16 a 30 años;$ 620.000 COP;$ 6.597.222,22*m²;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;Cerros de Suba;950000000
1;1;0;31 m²;31 m²;4;Excelente;menor a 1 año;$ 130.000 COP;$ 7.419.354,84*m²;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Mazuren;230000000
3;2;1;52 m²;52 m²;4;No definida;1 a 8 años;$ 219.000 COP;$ 5.576.923,08*m²;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;El plan;290000000
3;3;1;150 m²;150 m²;6;Bueno;más de 30 años;$ 872.000 COP;$ 6.533.333,33*m²;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;La Cabrera;980000000
3;2;1;110 m²;100 m²;3;No definida;16 a 30 años;$ 135.000 COP;$ 4.181.818,18*m²;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;Apartamento;Ciudad jardin sur;460000000
3;2;0;53 m²;47 m²;3;No definida;9 a 15 años;$ 125.000 COP;$ 3.207.547,17*m²;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Ub. industrial las delicias;170000000
3;3;1;111 m²;0 m²;4;Excelente;16 a 30 años;No definida;$ 3.873.873,87*m²;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Casa;Pradera Norte;430000000
4;4;2;264 m²;264 m²;5;Bueno;más de 30 años;$ 836.000 COP;$ 5.303.030,3*m²;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;Apartamento;NICOLÁS DE FEDERMÁN;1400000000
3;2;2;97 m²;0 m²;4;No definida;9 a 15 años;$ 272.000 COP;$ 6.175.257,73*m²;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Pontevedra;599000000
2;3;2;87 m²;82 m²;4;No definida;9 a 15 años;$ 350.000 COP;$ 4.712.643,68*m²;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Los cedros oriental;410000000
3;4;2;175 m²;175 m²;4;No definida;16 a 30 años;No definida;$ 4.285.714,29*m²;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;Casa;Cedro Golf;750000000
10;5;2;391 m²;0 m²;3;No definida;16 a 30 años;No definida;$ 1.994.884,91*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Sosiego sur;780000000
6;4;3;218 m2;0 m²;4;Bueno;más de 30 años;No definida;$ 3.027.522,94*m²;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Casa;Normandía;660000000
1;2;1;50 m²;0 m²;5;Bueno;9 a 15 años;$ 310.000 COP;$ 6.800.000*m²;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;Apartamento;Contador;340000000
3;3;1;140 m²;140 m²;4;Bueno;más de 30 años;$ 460.000 COP;$ 5.071.428,57*m²;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;0;0;Apartamento;Quinta Paredes;710000000
4;3;1;90 m²;0 m²;4;Bueno;más de 30 años;$ 369.000 COP;$ 4.000.000*m²;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;Apartamento;Cedro Golf;360000000
2;3;2;111 m²;111 m²;6;Bueno;9 a 15 años;$ 786.000 COP;$ 11.261.261,26*m²;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;La Cabrera;1250000000
12;5;0;375 m²;320 m²;3;Bueno;16 a 30 años;No definida;$ 1.493.333,33*m²;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;Casa;Los Cerezos;560000000
2;3;2;111 m²;73 m²;4;No definida;16 a 30 años;$ 483.000 COP;$ 3.423.423,42*m²;1;0;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Cedro Golf;380000000
4;4;2;307 m²;307 m²;3;No definida;más de 30 años;No definida;$ 2.931.596,09*m²;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;0;0;Casa;Provivienda norte;900000000
3;2;0;61 m²;0 m²;3;No definida;16 a 30 años;$ 130.000 COP;$ 2.622.950,82*m²;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;Apartamento;Suba Salitre;160000000
2;3;4;322 m²;277 m²;6;No definida;1 a 8 años;$ 2.304.000 COP;$ 9.000.000*m²;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Los Rosales;2898000000
5;5;4;280 m²;280 m²;6;No definida;16 a 30 años;$ 2.200.000 COP;$ 7.142.857,14*m²;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;La carolina;2000000000
3;2;1;59 m²;54 m²;4;Bueno;16 a 30 años;$ 150.000 COP;$ 4.220.338,98*m²;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Colina Campestre;249000000
3;3;2;146 m²;133 m²;5;Excelente;16 a 30 años;$ 660.000 COP;$ 5.410.958,9*m²;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;1;Apartamento;Santa Ana Occidental;790000000
2;2;1;75 m²;75 m²;4;Excelente;16 a 30 años;$ 316.000 COP;$ 4.200.000*m²;0;0;1;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;Apartamento;Mazurén;315000000
2;2;2;56 m²;0 m²;4;Excelente;1 a 8 años;$ 266.200 COP;$ 6.428.571,43*m²;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Apartamento;Cedritos;360000000
3;2;2;87 m²;0 m²;5;No definida;1 a 8 años;$ 390.000 COP;$ 5.965.517,24*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Colina Campestre;519000000
3;2;1;59 m²;59 m²;3;Excelente;menor a 1 año;$ 80.000 COP;$ 4.830.508,47*m²;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;Apartamento;La granja;285000000
